Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
36,Female,Master's,Married,68776.0,612.0,47707.0,Personal,Unemployed,11,Fair,0.3324,68491.0,0.0,Port Christopher,NY,Brunei Darussalam,1.0,1,Low
54,Female,Bachelor's,Married,98669.0,720.0,19464.0,Business,Unemployed,2,Poor,0.1679,26571.0,0.0,Smithview,IA,French Polynesia,1.0,0,High
19,Non-binary,Master's,Single,112545.0,712.0,15503.0,Home,Unemployed,7,Poor,0.2522,194154.0,0.0,Ibarraport,NJ,Zimbabwe,4.0,0,Low
44,Non-binary,PhD,Widowed,51280.0,750.0,22162.0,Home,Employed,11,Excellent,0.5501,87579.0,3.0,East Danielmouth,AS,Haiti,1.0,2,Medium
65,Male,Master's,Divorced,106526.0,650.0,23161.0,Auto,Employed,19,Poor,0.5449,98025.0,4.0,Richardbury,ID,Armenia,0.0,0,Low
36,Non-binary,Bachelor's,Widowed,37105.0,720.0,33259.0,Home,Employed,7,Fair,0.4128,294048.0,2.0,Yvonneland,NY,Brunei Darussalam,3.0,1,Medium
39,Female,Master's,Widowed,100015.0,615.0,23114.0,Business,Unemployed,14,Poor,0.4846,85309.0,0.0,New Meganshire,NV,French Polynesia,3.0,0,Low
50,Female,Master's,Divorced,96293.0,708.0,21552.0,Auto,Employed,3,Excellent,0.1294,255942.0,4.0,Port Amy,FM,Egypt,0.0,1,Low
38,Non-binary,Bachelor's,Single,48069.0,670.0,17841.0,Home,Unemployed,17,Excellent,0.1575,241550.0,2.0,Jacksonmouth,WA,Jordan,0.0,2,Low
35,Female,PhD,Married,72433.0,792.0,5747.0,Business,Self-employed,4,Good,0.3274,112076.0,0.0,Andreaborough,NC,Thailand,3.0,2,Low
22,Non-binary,Master's,Widowed,65266.0,617.0,34746.0,Home,Unemployed,18,Poor,0.2689,40215.0,4.0,Taylormouth,ND,Botswana,1.0,1,Low
40,Male,Master's,Widowed,98578.0,663.0,8747.0,Auto,Self-employed,1,Good,0.5147,37396.0,0.0,Jacobview,WV,Russian Federation,0.0,1,Low
39,Male,High School,Married,90227.0,770.0,18079.0,Business,Employed,3,Poor,0.5188,163838.0,1.0,South Brianna,GU,Mali,0.0,1,Low
31,Non-binary,High School,Divorced,107081.0,740.0,18101.0,Business,Employed,5,Poor,0.1088,25157.0,2.0,Gordonbury,AL,Ukraine,1.0,2,Low
45,Female,High School,Widowed,82878.0,748.0,17023.0,Auto,Self-employed,19,Poor,0.5849,192705.0,4.0,Penamouth,NH,Ethiopia,4.0,1,Low
19,Male,High School,Married,35817.0,731.0,44426.0,Home,Unemployed,1,Fair,0.5055,20626.0,1.0,East Triciatown,WI,Angola,0.0,2,Low
36,Female,High School,Married,65104.0,699.0,44260.0,Home,Employed,2,Excellent,0.3378,135458.0,4.0,Zacharyhaven,NM,Guatemala,2.0,2,Low
23,Male,Bachelor's,Single,28906.0,724.0,24532.0,Business,Unemployed,3,Poor,0.5006,96640.0,2.0,Lake Evelynstad,CA,Monaco,0.0,0,Low
22,Male,Master's,Widowed,104766.0,764.0,16117.0,Business,Unemployed,17,Good,0.2115,156630.0,3.0,New Shannonberg,KY,Gambia,3.0,1,Low
41,Female,Master's,Widowed,79556.0,742.0,5235.0,Home,Employed,5,Excellent,0.3224,247857.0,0.0,Onealfurt,WA,Romania,4.0,0,Low
57,Male,Master's,Single,116102.0,629.0,31831.0,Home,Employed,16,Excellent,0.5164,228018.0,4.0,Smithborough,IA,Palestinian Territory,2.0,0,Medium
52,Male,High School,Married,32094.0,634.0,17612.0,Home,Self-employed,17,Good,0.5495,114375.0,2.0,West Robert,IA,Singapore,2.0,0,Medium
55,Non-binary,Master's,Widowed,108177.0,735.0,23616.0,Business,Employed,12,Fair,0.3353,165613.0,2.0,Barneston,CA,Saint Pierre and Miquelon,1.0,2,Medium
41,Female,PhD,Widowed,96591.0,722.0,7260.0,Home,Employed,12,Fair,0.5845,102681.0,0.0,New Shelby,KS,Lesotho,2.0,2,Medium
67,Male,Master's,Widowed,107366.0,655.0,20154.0,Home,Employed,9,Poor,0.4166,108345.0,4.0,New Valerie,GA,Monaco,4.0,1,Low
60,Female,PhD,Married,74030.0,711.0,9459.0,Personal,Unemployed,19,Fair,0.1607,96641.0,2.0,Lake Daniel,PW,Argentina,0.0,2,Low
39,Male,Master's,Divorced,56116.0,636.0,16578.0,Personal,Employed,12,Excellent,0.3131,197835.0,1.0,Johnnyberg,NY,South Africa,1.0,0,Medium
64,Male,PhD,Single,101855.0,686.0,48584.0,Auto,Self-employed,9,Good,0.5725,138039.0,3.0,East Keith,MS,El Salvador,3.0,1,Low
39,Non-binary,High School,Widowed,99622.0,720.0,23158.0,Auto,Employed,6,Good,0.4198,65046.0,4.0,New Ashley,MN,El Salvador,2.0,1,Low
67,Male,PhD,Divorced,110896.0,689.0,11503.0,Business,Self-employed,9,Excellent,0.1063,121360.0,0.0,New Russellfurt,HI,Jersey,2.0,0,Medium
28,Female,PhD,Single,64541.0,703.0,20017.0,Auto,Self-employed,1,Good,0.2063,24856.0,4.0,Lake Keithtown,MO,Suriname,1.0,1,High
31,Female,PhD,Widowed,50885.0,669.0,18293.0,Home,Unemployed,7,Poor,0.2586,99103.0,4.0,Margaretchester,KY,Mayotte,3.0,2,Low
48,Male,Master's,Divorced,107050.0,711.0,14382.0,Business,Self-employed,3,Excellent,0.5021,142063.0,1.0,New Janet,CT,Samoa,1.0,1,Medium
35,Male,High School,Divorced,114877.0,699.0,46113.0,Business,Unemployed,6,Excellent,0.3899,254153.0,0.0,Port Andreamouth,WV,Luxembourg,1.0,1,Medium
36,Female,Bachelor's,Divorced,44283.0,755.0,42326.0,Personal,Self-employed,7,Poor,0.1161,228890.0,4.0,Turnerchester,NV,Micronesia,0.0,2,Low
59,Female,High School,Single,60385.0,743.0,30961.0,Business,Self-employed,19,Excellent,0.3838,222830.0,4.0,Greenport,WV,Azerbaijan,2.0,0,Low
43,Female,Bachelor's,Single,29797.0,727.0,10640.0,Business,Self-employed,14,Excellent,0.5093,89291.0,4.0,Frankport,NE,Austria,3.0,0,Low
39,Non-binary,Bachelor's,Divorced,31137.0,757.0,7326.0,Personal,Unemployed,9,Poor,0.4418,68848.0,3.0,North Nathantown,MN,Indonesia,1.0,2,Medium
62,Female,PhD,Divorced,115923.0,726.0,37406.0,Personal,Self-employed,17,Good,0.2873,154178.0,1.0,West Elizabethside,MA,Peru,2.0,1,High
22,Female,High School,Widowed,69738.0,727.0,15974.0,Auto,Self-employed,10,Good,0.3875,238717.0,1.0,New Kathryn,OR,Norway,0.0,1,Low
37,Non-binary,PhD,Divorced,76795.0,645.0,33454.0,Personal,Self-employed,13,Excellent,0.5085,40258.0,4.0,Andreaborough,NV,Bangladesh,3.0,0,Low
27,Non-binary,High School,Widowed,61232.0,643.0,46522.0,Business,Unemployed,6,Fair,0.1511,285561.0,2.0,Villafurt,RI,Sao Tome and Principe,2.0,0,Low
65,Male,Master's,Single,89126.0,643.0,38741.0,Auto,Employed,0,Excellent,0.1314,50589.0,1.0,New Julieside,AK,Martinique,4.0,0,High
66,Non-binary,PhD,Widowed,104677.0,784.0,24588.0,Home,Unemployed,9,Fair,0.3048,50584.0,4.0,South Karen,NM,Finland,4.0,0,Low
27,Non-binary,Master's,Divorced,80523.0,604.0,13043.0,Auto,Employed,15,Excellent,0.1123,201865.0,3.0,North Jessicachester,WY,Andorra,4.0,1,Low
37,Female,PhD,Single,20987.0,640.0,8042.0,Home,Employed,12,Fair,0.4428,55772.0,3.0,Bradleyshire,NE,Falkland Islands (Malvinas),1.0,1,Low
26,Male,High School,Widowed,28583.0,611.0,29949.0,Personal,Employed,19,Excellent,0.2001,139629.0,3.0,West Ashleyberg,KS,Libyan Arab Jamahiriya,2.0,0,Medium
21,Male,Bachelor's,Divorced,39330.0,769.0,27489.0,Home,Self-employed,14,Excellent,0.4546,284455.0,3.0,Martinezmouth,PA,Costa Rica,0.0,2,Low
52,Non-binary,PhD,Divorced,111594.0,715.0,9174.0,Home,Unemployed,4,Good,0.1008,137074.0,2.0,Victoriamouth,MN,Western Sahara,2.0,1,Low
27,Female,High School,Divorced,102789.0,742.0,10729.0,Business,Employed,17,Good,0.2713,269293.0,0.0,Lauratown,AL,Vanuatu,1.0,0,Medium
47,Non-binary,High School,Married,28673.0,699.0,19540.0,Auto,Unemployed,19,Fair,0.408,255563.0,0.0,North Bonnie,MI,Mali,1.0,2,Medium
22,Female,Bachelor's,Widowed,35973.0,663.0,19492.0,Auto,Unemployed,2,Good,0.4325,82006.0,3.0,Hartmanmouth,VI,Suriname,0.0,0,Medium
41,Male,Bachelor's,Single,62011.0,747.0,15722.0,Business,Employed,3,Poor,0.1766,259195.0,2.0,Garrettton,MD,Romania,3.0,0,Medium
54,Male,Bachelor's,Married,114486.0,704.0,32353.0,Auto,Self-employed,7,Poor,0.4003,222630.0,1.0,Jarviston,KY,Saint Pierre and Miquelon,1.0,1,Low
34,Female,Bachelor's,Single,42064.0,760.0,39482.0,Personal,Employed,0,Excellent,0.2019,243318.0,0.0,Krystalberg,PA,Lesotho,3.0,2,Low
43,Female,PhD,Widowed,31231.0,712.0,48935.0,Personal,Employed,8,Good,0.1075,277314.0,2.0,South Kent,CT,Pakistan,3.0,0,Medium
47,Male,Bachelor's,Married,85651.0,799.0,17157.0,Auto,Unemployed,2,Fair,0.5419,200136.0,3.0,Matthewshire,RI,Grenada,3.0,0,Medium
45,Male,Bachelor's,Divorced,85839.0,686.0,29177.0,Business,Self-employed,11,Excellent,0.2601,114053.0,0.0,Port Vickie,LA,New Caledonia,4.0,0,Low
20,Non-binary,Bachelor's,Single,109590.0,625.0,41449.0,Personal,Self-employed,16,Fair,0.5198,114922.0,1.0,Annettemouth,PR,Cape Verde,4.0,2,Low
47,Non-binary,High School,Single,58217.0,658.0,15328.0,Business,Unemployed,11,Poor,0.5254,169695.0,0.0,East Nicholas,NH,Angola,0.0,0,Medium
49,Non-binary,Bachelor's,Married,105916.0,750.0,6324.0,Personal,Unemployed,17,Poor,0.27,89195.0,2.0,New Phillip,SD,Peru,1.0,1,High
62,Non-binary,Master's,Single,74850.0,650.0,17324.0,Personal,Self-employed,14,Excellent,0.1913,151244.0,0.0,New Catherineton,OR,Marshall Islands,0.0,2,Low
40,Male,Bachelor's,Single,90179.0,693.0,32825.0,Personal,Self-employed,5,Good,0.5841,129600.0,3.0,Brownville,IL,Wallis and Futuna,4.0,1,Low
31,Male,High School,Married,34002.0,738.0,23618.0,Home,Unemployed,6,Fair,0.1731,269695.0,3.0,Davismouth,AL,Peru,2.0,1,Low
48,Male,Master's,Divorced,37540.0,673.0,34317.0,Home,Employed,7,Poor,0.5059,32715.0,4.0,New Sara,NE,Morocco,4.0,1,Medium
55,Non-binary,High School,Divorced,98283.0,650.0,42997.0,Auto,Unemployed,17,Fair,0.4866,178174.0,4.0,East John,ID,Argentina,0.0,0,Low
65,Male,High School,Single,27826.0,736.0,43125.0,Auto,Employed,18,Good,0.2532,118770.0,0.0,West David,FL,Iraq,3.0,1,Medium
54,Non-binary,Master's,Single,62296.0,744.0,23778.0,Business,Self-employed,1,Excellent,0.2031,173854.0,0.0,Port Sandra,DE,Bulgaria,1.0,0,High
30,Non-binary,Master's,Widowed,114499.0,779.0,40584.0,Auto,Self-employed,6,Fair,0.2841,76919.0,3.0,New Susan,AR,Mauritius,2.0,1,Low
19,Female,Bachelor's,Single,83471.0,793.0,8810.0,Personal,Self-employed,14,Excellent,0.5115,145761.0,4.0,Baileystad,ND,Mauritania,1.0,0,Low
19,Female,Master's,Divorced,115381.0,727.0,40970.0,Auto,Self-employed,14,Good,0.4518,291530.0,1.0,Hunterside,SC,Namibia,0.0,0,Low
43,Male,Master's,Divorced,81683.0,693.0,10316.0,Home,Employed,2,Good,0.3513,28304.0,3.0,Dyerfort,MS,Holy See (Vatican City State),0.0,0,Low
25,Non-binary,Master's,Single,37330.0,797.0,28892.0,Personal,Unemployed,11,Excellent,0.4511,247877.0,3.0,Keithberg,IL,Iraq,2.0,1,Medium
32,Female,PhD,Single,99688.0,732.0,12429.0,Home,Unemployed,8,Poor,0.4302,267072.0,0.0,Port Sarahton,MI,North Macedonia,3.0,2,Medium
60,Male,PhD,Married,114018.0,636.0,28620.0,Business,Employed,1,Excellent,0.261,38980.0,3.0,West Kaylee,CO,Liberia,1.0,1,Medium
35,Female,PhD,Single,39629.0,622.0,9537.0,Home,Unemployed,2,Fair,0.5244,48636.0,1.0,Desireeville,DC,Sao Tome and Principe,4.0,0,Low
66,Female,High School,Single,61291.0,639.0,7908.0,Personal,Unemployed,12,Poor,0.169,33810.0,1.0,Port David,WA,Mayotte,3.0,2,Low
46,Female,Master's,Married,34284.0,775.0,26340.0,Personal,Self-employed,14,Fair,0.4004,64156.0,4.0,New Melissamouth,NV,Wallis and Futuna,0.0,2,Medium
28,Non-binary,Bachelor's,Divorced,98311.0,689.0,34763.0,Business,Employed,8,Excellent,0.3887,216062.0,0.0,West Deanna,TN,India,3.0,2,Low
67,Male,Bachelor's,Widowed,63148.0,660.0,16704.0,Auto,Self-employed,0,Fair,0.3343,40643.0,0.0,Kimberlychester,TX,Tajikistan,4.0,2,Low
28,Male,Bachelor's,Single,94693.0,718.0,20928.0,Business,Unemployed,5,Fair,0.3238,257028.0,2.0,Josephstad,MP,Georgia,4.0,2,Low
27,Male,High School,Single,88173.0,746.0,14800.0,Personal,Self-employed,8,Fair,0.5387,289092.0,0.0,South Susanfurt,KY,Congo,1.0,1,Low
34,Non-binary,High School,Married,70807.0,745.0,39572.0,Business,Employed,18,Good,0.434,130451.0,3.0,South Audrey,MP,Saint Lucia,4.0,0,Low
38,Female,High School,Divorced,99314.0,656.0,17158.0,Personal,Self-employed,8,Excellent,0.1239,162247.0,4.0,Diazview,GU,Yemen,2.0,1,Low
48,Male,Bachelor's,Single,25465.0,671.0,36672.0,Auto,Self-employed,8,Fair,0.255,237546.0,4.0,Markville,PA,Romania,1.0,1,Medium
40,Female,High School,Widowed,104766.0,688.0,35808.0,Business,Employed,15,Poor,0.3208,198067.0,1.0,West Scottshire,MS,Falkland Islands (Malvinas),4.0,1,High
69,Female,Master's,Divorced,118995.0,787.0,14398.0,Auto,Employed,15,Good,0.4883,148047.0,0.0,Clarkborough,DE,Bermuda,3.0,1,Medium
31,Non-binary,High School,Widowed,63322.0,773.0,8074.0,Business,Employed,5,Fair,0.3815,267802.0,3.0,Port Michaelmouth,ID,Romania,1.0,0,High
43,Female,Master's,Single,34821.0,775.0,22889.0,Personal,Unemployed,18,Good,0.1187,278194.0,0.0,Lake James,MD,Niue,3.0,2,High
18,Non-binary,High School,Widowed,99671.0,669.0,30460.0,Personal,Unemployed,18,Poor,0.4338,25531.0,1.0,Jacquelineborough,MP,Greece,1.0,1,Medium
56,Male,High School,Widowed,73953.0,710.0,42364.0,Home,Self-employed,1,Good,0.5558,152625.0,1.0,North Michael,NY,United States Minor Outlying Islands,2.0,2,Medium
53,Female,PhD,Divorced,88669.0,720.0,17468.0,Home,Self-employed,6,Excellent,0.576,199129.0,0.0,West Daniel,NE,Japan,4.0,1,Low
33,Non-binary,Bachelor's,Single,46953.0,627.0,23284.0,Business,Self-employed,7,Good,0.2332,192563.0,3.0,West Michelle,VA,Monaco,0.0,1,Medium
41,Female,High School,Married,89852.0,676.0,27422.0,Home,Self-employed,9,Excellent,0.4863,205004.0,1.0,Loweryland,VT,Tonga,4.0,0,Low
62,Male,PhD,Divorced,87384.0,606.0,7297.0,Business,Self-employed,4,Good,0.4503,232491.0,3.0,West Melanieton,MH,Taiwan,0.0,0,Low
32,Female,Bachelor's,Married,78360.0,608.0,47644.0,Home,Unemployed,1,Fair,0.1123,271432.0,3.0,East Veronica,KY,Tajikistan,4.0,0,Low
30,Non-binary,Master's,Married,55059.0,756.0,7413.0,Personal,Employed,5,Good,0.4948,29295.0,4.0,Walkerborough,WA,Tunisia,0.0,2,Low
59,Female,Master's,Married,77564.0,612.0,12357.0,Business,Employed,1,Good,0.4534,111458.0,0.0,Tylerport,DE,Marshall Islands,2.0,1,Medium
66,Male,Master's,Divorced,64764.0,600.0,25486.0,Auto,Employed,17,Good,0.4548,79556.0,1.0,New Latashabury,AZ,Reunion,1.0,0,Medium
32,Female,High School,Widowed,118580.0,636.0,13116.0,Home,Self-employed,7,Fair,0.1207,267284.0,3.0,Savannahfurt,NC,Mauritius,0.0,1,Low
20,Female,High School,Married,41961.0,612.0,30866.0,Auto,Employed,11,Excellent,0.3002,294593.0,0.0,Port Kentberg,CO,Brunei Darussalam,2.0,1,Low
35,Female,Master's,Divorced,84766.0,622.0,20645.0,Business,Unemployed,6,Fair,0.5076,77868.0,3.0,Blackwellchester,AR,Cote d'Ivoire,1.0,1,Medium
36,Non-binary,Master's,Divorced,44448.0,631.0,30975.0,Auto,Self-employed,18,Good,0.1943,130657.0,2.0,South Matthewmouth,MP,Bhutan,3.0,1,High
68,Female,High School,Single,113923.0,601.0,44653.0,Auto,Employed,1,Good,0.2701,263788.0,2.0,New Lindsay,OH,Mayotte,2.0,2,High
28,Male,Bachelor's,Single,83969.0,671.0,44332.0,Business,Employed,16,Fair,0.457,88597.0,0.0,Julieborough,FM,United States of America,2.0,2,Low
66,Non-binary,PhD,Divorced,111109.0,664.0,16734.0,Auto,Unemployed,0,Fair,0.2012,246188.0,0.0,Port Frank,RI,Grenada,2.0,2,High
36,Female,PhD,Widowed,52548.0,766.0,8458.0,Auto,Employed,11,Fair,0.2405,62171.0,1.0,Simsfurt,WI,Falkland Islands (Malvinas),3.0,1,Low
56,Non-binary,High School,Divorced,36600.0,724.0,26718.0,Business,Unemployed,17,Excellent,0.1792,34116.0,4.0,Henrystad,PR,Libyan Arab Jamahiriya,4.0,0,Low
46,Male,PhD,Married,37986.0,741.0,5217.0,Personal,Unemployed,11,Excellent,0.2433,24766.0,4.0,North Stephanie,LA,Saint Lucia,2.0,2,Medium
27,Female,Bachelor's,Single,55423.0,785.0,10956.0,Personal,Employed,7,Fair,0.3366,73141.0,4.0,Port Lindseyfort,MO,Saint Kitts and Nevis,1.0,1,Medium
68,Non-binary,High School,Widowed,107151.0,754.0,39626.0,Business,Employed,13,Fair,0.3021,147103.0,1.0,South Aprilbury,TX,Equatorial Guinea,2.0,2,Low
54,Male,High School,Married,23794.0,754.0,42272.0,Personal,Unemployed,5,Good,0.5349,273159.0,4.0,Mannmouth,MT,Angola,3.0,2,High
63,Male,Bachelor's,Divorced,117980.0,750.0,34913.0,Auto,Employed,14,Fair,0.3197,79180.0,4.0,Higginsport,IN,Myanmar,4.0,0,Medium
19,Male,PhD,Married,105783.0,649.0,34842.0,Home,Unemployed,14,Excellent,0.1789,169091.0,4.0,North Lisa,PW,Serbia,3.0,0,High
66,Male,Bachelor's,Divorced,79893.0,641.0,8341.0,Personal,Employed,5,Excellent,0.1867,213287.0,4.0,Amberfort,VI,Oman,4.0,0,Medium
66,Non-binary,Bachelor's,Divorced,21299.0,621.0,14131.0,Personal,Self-employed,17,Good,0.4952,272640.0,2.0,Karenborough,AL,Niger,2.0,0,Low
65,Male,Bachelor's,Divorced,82713.0,658.0,15995.0,Home,Employed,2,Excellent,0.3336,77072.0,2.0,Erinchester,NJ,Andorra,1.0,2,Low
59,Male,High School,Divorced,37373.0,743.0,12455.0,Home,Employed,9,Poor,0.3037,166261.0,2.0,Lake Kelsey,AL,Chile,1.0,1,Low
47,Male,High School,Divorced,52577.0,625.0,33975.0,Home,Employed,7,Poor,0.2578,190682.0,2.0,Port Randalltown,VA,Korea,2.0,0,Low
38,Non-binary,Master's,Single,52903.0,736.0,37009.0,Personal,Unemployed,19,Good,0.4729,291166.0,2.0,West Carla,TX,Portugal,0.0,0,Medium
39,Female,Bachelor's,Widowed,36489.0,609.0,7961.0,Auto,Self-employed,9,Excellent,0.5914,181869.0,2.0,South Lisa,ID,Mayotte,4.0,2,Low
23,Male,High School,Married,83853.0,712.0,11358.0,Business,Employed,7,Good,0.5872,166988.0,3.0,Lake Vincent,PR,Luxembourg,2.0,1,Low
38,Non-binary,PhD,Married,104614.0,648.0,40992.0,Home,Unemployed,2,Fair,0.3214,166986.0,3.0,New Shawnborough,HI,Guatemala,3.0,1,High
32,Male,Master's,Married,99211.0,631.0,44886.0,Personal,Unemployed,3,Fair,0.2213,123213.0,1.0,New Dylan,SD,Rwanda,4.0,1,High
58,Non-binary,High School,Divorced,82583.0,768.0,30366.0,Home,Self-employed,9,Poor,0.5763,119096.0,2.0,Lake Andrewmouth,PR,Algeria,4.0,0,Low
18,Male,Master's,Widowed,84162.0,606.0,5015.0,Business,Self-employed,17,Poor,0.3891,275773.0,1.0,Amandamouth,KS,Cambodia,1.0,2,Low
61,Female,Bachelor's,Single,25702.0,650.0,31654.0,Auto,Employed,15,Excellent,0.1613,149488.0,0.0,South Jessicafurt,WA,Christmas Island,1.0,2,Low
21,Female,Bachelor's,Single,23582.0,736.0,19309.0,Personal,Unemployed,2,Good,0.4642,229415.0,4.0,West Jennifer,OK,Romania,3.0,2,Low
27,Male,Master's,Single,114452.0,668.0,36683.0,Auto,Self-employed,2,Poor,0.3826,191602.0,4.0,Herrerastad,WA,French Guiana,0.0,2,Low
33,Male,Bachelor's,Single,22170.0,686.0,44357.0,Personal,Self-employed,18,Good,0.3412,87943.0,4.0,South Justinshire,ID,Martinique,0.0,0,High
56,Non-binary,Master's,Married,35299.0,625.0,24860.0,Home,Employed,7,Poor,0.5744,229939.0,3.0,Lake Stephanieborough,OR,Oman,0.0,1,Low
57,Female,High School,Divorced,59015.0,774.0,36334.0,Personal,Unemployed,16,Excellent,0.2637,50529.0,3.0,Walkermouth,PW,Singapore,0.0,2,Low
37,Non-binary,PhD,Single,74337.0,630.0,17919.0,Auto,Employed,5,Fair,0.5208,219321.0,4.0,Lindsaymouth,OK,Turkey,0.0,1,Low
23,Non-binary,Bachelor's,Divorced,47684.0,742.0,42901.0,Home,Employed,16,Fair,0.2776,78032.0,4.0,Brownfurt,IL,Portugal,3.0,2,Low
47,Male,Bachelor's,Married,111352.0,688.0,15044.0,Auto,Self-employed,3,Excellent,0.2902,283782.0,2.0,Thomaschester,ME,Sierra Leone,2.0,1,Low
48,Male,PhD,Widowed,106151.0,626.0,34164.0,Auto,Unemployed,10,Good,0.5997,22135.0,0.0,South Renee,SC,Kenya,2.0,2,Low
24,Male,Bachelor's,Married,94667.0,768.0,26118.0,Home,Self-employed,13,Good,0.4263,104282.0,1.0,Vanessaton,HI,Papua New Guinea,2.0,0,Low
49,Female,High School,Divorced,49870.0,625.0,29285.0,Home,Self-employed,7,Poor,0.1102,187903.0,2.0,Wattsview,CT,Moldova,4.0,0,Low
54,Female,Bachelor's,Married,74240.0,633.0,11854.0,Business,Unemployed,5,Good,0.3515,76783.0,1.0,Lake Natalie,FM,Poland,4.0,2,Low
39,Female,Bachelor's,Divorced,81517.0,711.0,32838.0,Business,Employed,19,Fair,0.4379,148754.0,4.0,South Whitneyview,NY,Argentina,3.0,1,Low
23,Non-binary,Bachelor's,Single,34319.0,640.0,35058.0,Home,Unemployed,18,Poor,0.407,37907.0,2.0,Rhodesmouth,DE,Saint Vincent and the Grenadines,3.0,1,Low
54,Male,Bachelor's,Single,60753.0,778.0,25200.0,Personal,Unemployed,12,Good,0.2729,219389.0,2.0,West Anthonyberg,IN,Senegal,3.0,2,High
35,Non-binary,Master's,Married,56734.0,761.0,46826.0,Personal,Unemployed,15,Excellent,0.3878,238379.0,1.0,Port Patrickberg,IL,Italy,1.0,0,Low
21,Female,PhD,Married,58918.0,618.0,22165.0,Home,Employed,0,Good,0.3818,222403.0,3.0,New Christopherland,IL,Slovakia (Slovak Republic),2.0,2,Medium
51,Female,Master's,Widowed,47685.0,718.0,23891.0,Home,Unemployed,0,Poor,0.2012,112966.0,4.0,Johnton,KY,British Indian Ocean Territory (Chagos Archipelago),2.0,2,Low
32,Male,High School,Single,118835.0,722.0,11982.0,Business,Unemployed,5,Good,0.3797,209403.0,1.0,North Amy,WI,French Guiana,2.0,1,Medium
42,Non-binary,PhD,Divorced,37540.0,672.0,6724.0,Auto,Self-employed,16,Poor,0.1067,217834.0,0.0,Schmidtbury,AL,San Marino,2.0,0,Low
20,Non-binary,Master's,Widowed,103984.0,611.0,5350.0,Personal,Unemployed,4,Good,0.5911,203201.0,1.0,East Matthew,TX,Turkey,0.0,1,Low
63,Non-binary,High School,Divorced,24435.0,696.0,49852.0,Personal,Unemployed,12,Poor,0.3746,173878.0,1.0,Hortonstad,WY,Indonesia,1.0,2,Low
67,Non-binary,High School,Married,27131.0,605.0,9171.0,Home,Employed,14,Excellent,0.4927,274572.0,1.0,Caseville,NH,Tonga,0.0,2,Medium
31,Female,Bachelor's,Married,105924.0,738.0,41443.0,Business,Unemployed,15,Fair,0.2082,243582.0,1.0,Greenefurt,OK,Norfolk Island,3.0,1,Low
68,Female,High School,Widowed,63130.0,705.0,25293.0,Business,Employed,7,Fair,0.1938,30506.0,2.0,Davemouth,WY,Jersey,1.0,1,Low
64,Male,Master's,Widowed,49367.0,772.0,12840.0,Auto,Employed,11,Fair,0.4611,249394.0,0.0,Alexanderview,SC,Trinidad and Tobago,3.0,0,Medium
